Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
119021268.81921504,139112028.67888632,127986476.86705126,127694097.59992683
118564517.54966812,142296209.10940707,128907622.31587835,128900479.37703031
118001567.73219387,137592874.80839947,129005422.04772781,129091083.15238291
121622109.10794206,140185663.43292543,130088057.5440233,129619726.42369097
122985654.43238121,139952305.34654456,129616192.11480542,129357530.25645812
120171377.28498507,138118291.890985,130213387.35511689,130428999.46334799
118914041.8105596,136248224.80739185,129754624.87149708,129452979.90693289
121718876.56927527,137766738.94783604,130061414.40191402,130084376.94805059
122742490.63113305,141833526.5236008,129791285.62206195,129807948.92096496
121915704.75922297,138193775.70347765,129803350.82048371,130120626.09445706
120361806.76633644,137694247.07245633,129933232.4468725,130229685.83623585
122933030.11222357,140770267.10618767,129707908.5640666,129505975.21741274
121032320.80868192,139392887.66371718,129902217.01612988,129604968.20421399
120332180.8672105,137240669.17948154,129127241.89339617,128887887.95207298
120703175.82852015,138728371.0621689,129892235.70667557,129705348.39490238
122065879.84894483,140737954.44325984,130088794.23391038,129703930.5065258
121529880.27162874,138275994.0082417,129879654.50491844,129719420.13341013
123896695.59710816,138919673.92534837,130325403.9415983,130171271.80069599
122545284.61984916,142498273.43755913,130692216.25755996,130276054.10188437
119199122.57025988,142502701.18340957,129679773.71857092,129933382.38635232
119804728.70643276,142224631.21501902,129378716.76666242,129007866.1748975
123189883.94291247,138792236.31722102,130201877.36073032,130069121.10869847
121645200.5646999,140503905.0171168,130105319.6362624,129646036.22649124
120208041.35670035,143324718.2586795,129668879.23926933,129162000.23822999
123101491.58200932,142953216.75619632,129313228.38505182,128856646.27365698
121646312.52519083,142178166.13344252,130048441.44311073,129410326.7869078
118582737.44359237,138245839.2686014,129887999.14809197,129878341.78404626
119086358.33311243,140388192.26816347,130060736.78952096,130185299.92538103
123235161.68763848,140033511.66759333,130236800.09253767,130387026.77747682
123275272.16814698,136668619.81992167,130308233.74359402,130293766.01839906
119710554.55388008,138864039.62612918,130330188.85600407,130306878.98265196
119438315.02989675,140174500.22582206,129738786.1363569,129635728.61917448
120866386.41951793,142821055.9789284,129301931.7951647,128575854.40783188
120012301.5455025,139198374.50492263,129768495.66304685,130095002.49852034
120680901.19674407,144098157.79223156,130061586.96662153,129908749.57965386
122985153.90722556,141823931.2800258,130089634.47360547,130199351.14773193
119903235.81513819,139108108.85298938,130525604.44424316,130728710.1473772
123183834.99858235,142260109.76269004,129960544.9942569,129464102.97571082
122806188.8139454,138265239.54400247,130165312.722385,130435319.97142392
121888733.63673434,140276470.09693113,130515476.35902213,130489318.99842131
118599904.84956655,139109112.99484155,130925442.48004648,131208872.70342034
122416758.31862289,137986395.2179535,129828228.33900937,129620564.52372181
120387342.33806235,140066774.1537308,129606976.59735292,129187471.88316461
119896241.61481208,141562756.37796053,129756868.63258666,129842235.07273951
122632540.80700098,137294363.94855496,129331729.28239433,129466876.86325738
120737506.75760543,139207813.21514195,129229738.47571523,129450571.04272255
120467744.84788625,139612317.1984574,130215745.39749533,130343004.221628
121240154.26261614,139538819.13049594,130086604.0823453,130235272.63048369
121358717.18977687,136902779.87938207,129285232.2123691,129020109.64733547
119216202.39089762,139649013.43331566,129025491.88984296,129119367.91891453
119049940.98150769,139273490.00665316,129418701.64304692,128997770.1500859
121065840.92286499,138837019.4997513,129729171.48155484,129252810.18561782
122064522.5044838,140018772.28560704,130044819.26294318,129715308.80581772
121417552.47186413,136935495.70617473,129686177.32813047,129810810.52847451
120051228.75216874,138804457.9046117,130053423.88031723,130273980.11772272
123140497.89771971,138401237.68511444,130246897.10255855,130317049.68235071
121581037.31881027,137824214.98370484,130051108.47361778,130182726.78166611
119543137.81576023,136723825.77343628,129758776.65519315,129650684.18350571
122704138.252209,140083670.24564123,130267177.91182707,130465173.52051957
120985103.96002059,140002457.59752128,129639301.58675207,129305397.87325153
121479261.66540283,141854011.1153205,129991575.98058274,129841467.37801364
123165259.67660026,139727114.72681946,130164057.2116112,129828957.25285625
122522993.32528816,138310939.6902421,130001234.12968266,129538121.44114193
120924793.07920125,136218793.45676297,129908843.65728952,130254027.67063403
117973810.63579507,139288361.7919848,129728324.55776924,129427630.70420076
119328186.9764375,139291692.99087858,129647897.08728307,129525912.34451458
121291525.30463617,140837721.10725054,129480080.48224694,129419890.6140711
122346842.08424164,138997333.88043755,129613821.58634499,129355282.0919646
