Run 1,Run 2,Run 3,Run 4,Run 5,,,,
4366245.185,4431961.217,4418725.282,4498637.77,4448744.343,,,,
4321286.49,4427441.199,4418290.659,4478263.704,4444224.325,,,,
4314687.9,4427006.576,4417756.905,4470382.721,4443789.702,,,Mean,4169298.599
4299990.565,4426472.822,4416527.162,4458445.114,4443255.948,,,Mode,#N/A
4272048.052,4393181.025,4415704.994,4453316.449,4433954.847,,,Max,4504886.964
4270599.145,4380626.255,4399528.22,4444344.113,4423264.133,,,Min,3818038.825
4269133.295,4380152.847,4398406.365,4439824.095,4415077.928,,,Range,686848.1385
4254849.404,4379009.578,4389224.624,4439015.425,4412525.07,,,Std Dev,169574.0475
4248547.205,4377653.369,4379379.119,4426918.137,4411595.343,,,,
4247465.827,4366077.181,4365475.375,4416054.606,4383159.178,,,,
4234624.759,4364504.819,4357521.036,4411532.61,4365371.709,,,,
4227179.534,4360372.531,4356839.854,4410842.849,4352816.939,,,,
4213447.302,4353102.2,4346414.741,4385598.13,4352343.531,,,,
4209947.271,4347964.656,4345920.275,4368704.615,4351200.262,,,,
4204016.311,4341209.11,4342148.516,4361069.152,4349844.052,,,,
4165554.366,4340103.111,4341801.922,4360574.686,4338267.864,,,,
4164681.126,4338746.901,4341715.042,4356802.927,4336695.503,,,,
4156047.615,4333918.987,4341119.979,4356456.333,4332563.215,,,,
4144962.212,4330758.617,4340265.868,4350407.423,4328633.222,,,,
4140442.195,4330667.636,4332569.689,4348981.938,4325072.266,,,,
4137551.55,4325284.022,4324651.382,4347632.507,4321971.793,,,,
4120001.383,4308767.821,4311905.559,4317154.131,4319275.523,,,,
4118645.173,4304796.365,4301429.386,4309644.822,4318751.845,,,,
4114151.519,4295875.312,4299423.901,4309187.506,4316207.024,,,,
4113206.12,4287920.973,4270283.976,4306220.466,4235742.068,,,,
4104172.977,4282593.965,4266057.869,4304855.61,4224758.583,,,,
4089624.031,4277768.6,4261182.999,4291948.429,4224503.36,,,,
4086363.265,4266905.069,4255641.151,4288387.963,4205055.478,,,,
4084975.694,4236749.153,4253384.597,4281582.391,4203796.584,,,,
4062847.834,4232360.38,4242603.794,4274179.539,4201975.659,,,,
4040036.793,4228602.662,4238585.929,4272006.605,4197147.745,,,,
4039784.14,4226222.325,4231863.777,4258673.006,4180675.035,,,,
4019888.235,4221356.959,4225449.455,4252119.653,4177923.66,,,,
4009714.473,4211479.572,4205009.631,4246970.355,4176574.23,,,,
4009220.007,4204745.809,4203653.421,4246191.024,4171924.458,,,,
4007172.287,4196317.835,4192077.233,4246104.144,4115354.888,,,,
4006042.517,4192493.517,4190559.251,4245312.67,4038126.969,,,,
4004922.447,4175642.609,4188309.882,4241366.995,4038032.556,,,,
4003285.437,4175296.015,4167710.457,4240909.523,4030312.37,,,,
3997509.89,4171524.256,4162183.699,4239529.333,4009469.959,,,,
3995684.949,4171029.79,4160611.337,4239005.627,4004633.113,,,,
3995206.835,4159030.122,4156479.05,4234402.303,4000736.829,,,,
3982918.105,4155884.637,4076014.093,4234153.233,3998412.848,,,,
3974402.831,4141304.869,4068049.319,4233230.769,3963675.802,,,,
3973863.761,4137397.558,4058542.172,4231631.449,3963181.337,,,,
3972002.692,4125618.873,4049149.397,4224033.486,3959409.578,,,,
3968269.841,4116030.354,4031839.317,4208127.184,3959062.984,,,,
3967689.712,4101978.114,4030994.512,4203839.343,3958269.659,,,,
3927824.909,4095091.929,4023532.828,4199866.25,3928108.848,,,,
3924309.49,4069123.05,4022183.397,4177278.529,3928021.968,,,,
3919951.973,4037519.79,4019154.298,4167420.308,3910120.199,,,,
3913897.693,4027718.477,4010463.053,4165134.186,4024993.947,,,,
3901817.962,4018165.048,4009536.739,4164224.035,4019419.955,,,,
3877251.837,4010655.74,4009090.225,4163891.297,4012264.665,,,,
3872377.185,4004212.21,4007936.529,4158929.115,4009513.29,,,,
3869629.907,3992865.149,3999390.358,4156797.879,4003766.155,,,,
3869198.081,3991199.336,3994063.35,4133464.928,3994014.141,,,,
3866405.114,3990612.887,3988633.918,4119883.787,3992908.142,,,,
3863328.292,3988075.102,3987425.437,4116771.578,3988584.855,,,,
3841567.484,3986787.3,3983324.993,4283828.288,3987228.645,,,,
3840231.444,3983651.327,3978419.882,4276769.282,3967616.439,,,,
3837484.123,3970011.016,3970921.879,4269283.853,3963410.787,,,,
3829776.667,3969359.841,3943545.558,4260539.727,3963327.998,,,,
3828193.769,3967120.362,4094765.135,4230376.16,3961637.708,,,,
3824908.944,3966329.817,4088005.901,4223880.157,3961129.727,,,,
3824817.963,3957765.919,4082901.456,4221907.818,3958889.261,,,,
3818038.825,3956653.136,4082877.077,4206498.063,3938019.192,,,,
,3951204.891,4075234.566,4204193.704,3914580.656,,,,
,3950413.417,4067686.557,4204139.924,3871026.999,,,,
,3948313.947,4064680.251,4200336.121,4230723.81,,,,
,3948227.066,4046788.549,4194142.732,4224883.982,,,,
,3947975.255,4010962.98,4190977.517,4207707.106,,,,
,3947139.526,4009748.949,4166902.631,4207168.036,,,,
,3947089.751,4004082.228,4157187.064,4198379.182,,,,
,3941310.623,4003800.035,4127642.342,4187334.33,,,,
,3939217.55,4002616.05,4174977.134,4186044.766,,,,
,3935492.194,3984408.148,4163341.917,4185730.362,,,,
,3935382.012,3981316.781,4162818.238,4182496.994,,,,
,3934496.901,3956405.608,4159060.52,4176958.686,,,,
,3933582.474,3955457.231,4158975.034,4168835.71,,,,
,3924555.101,3942532.841,4158698.305,4167649.515,,,,
,3917846.758,3941257.797,4157276.422,4149565.631,,,,
,3916414.115,,4157193.633,4117998.523,,,,
,3915094.674,,4155503.342,4091099.064,,,,
,3913985.86,,4133503.915,4049679.382,,,,
,3905572.362,,4117482.362,4019253.303,,,,
,3897444.86,,4504886.964,4001171.661,,,,
,3875663.128,,4476689.216,3985736.372,,,,
,3875068.065,,4467617.694,3985141.132,,,,
,3874213.954,,4463591.314,3984659.582,,,,
,3866517.775,,4458712.222,3980913.275,,,,
,4293586.386,,4452236.126,3971592.481,,,,
,4286547.778,,4450731.31,,,,,
,4283541.233,,4435482.476,,,,,
,4282814.204,,4429289.857,,,,,
,4270141.892,,4425364.579,,,,,
,4261707.858,,4424016.638,,,,,
,4259777.277,,4421724.859,,,,,
,4244662.458,,4418866.623,,,,,
,4244204.741,,4418198.761,,,,,
,4240059.62,,4416334.144,,,,,
,4229802.284,,4414904.365,,,,,
,4227782.823,,4413518.252,,,,,
,4208067.658,,4405846.132,,,,,
,4203291.128,,4405309.482,,,,,
,4199774.523,,4401774.696,,,,,
,4190265.454,,4395063.197,,,,,
,4159381.574,,4394191.351,,,,,
,4154345.594,,4387467.963,,,,,
,4140554.197,,4381692.415,,,,,
,4115376.389,,4381153.345,,,,,
,4081286.289,,4379861.364,,,,,
,4070207.09,,4377847.9,,,,,
,4066934.614,,4357275.036,,,,,
,4064346.963,,4356694.907,,,,,
,4061612.974,,4347833.465,,,,,
,4043728.777,,4344696.424,,,,,
,4027387.003,,4339860.792,,,,,
,4022042.508,,4336297.813,,,,,
,4020438.855,,4332440.833,,,,,
,4014924.936,,4325964.759,,,,,
,3976964.09,,4314408.57,,,,,
,3968982.902,,4303752.794,,,,,
,3966462.682,,4303258.329,,,,,
,3965590.065,,4300670.299,,,,,
,3964747.123,,4285941.68,,,,,
,3963844.328,,4272653.05,,,,,
,3950629.938,,4264046.741,,,,,
,3950527.044,,4262898.466,,,,,
,3948914.654,,4257330.016,,,,,
,3927173.527,,4250437.077,,,,,
,3918674.04,,4246845.793,,,,,
,,,4245297.8,,,,,
,,,4240412.906,,,,,
,,,4235958.727,,,,,
,,,4230389.956,,,,,
,,,4222554.223,,,,,
,,,4207188.901,,,,,
,,,4154853.519,,,,,
