k Value,r2 Value,Run Time
0,0.753855727,4.132318974
1,0.810577279,2.399547577
2,0.865671499,2.43457222
3,0.881275631,2.48266387
4,0.890485625,2.48022151
5,0.895864079,2.509581566
6,0.897732725,2.571907043
7,0.899645637,2.609465122
8,0.902008561,2.336800098
9,0.902409417,2.488354921
10,0.903402332,2.622327805
11,0.904274701,2.524800777
12,0.90422534,2.336964846
13,0.90400034,2.46508193
14,0.90400829,2.505582333
15,0.904318287,2.631342173
16,0.904194255,2.412833214
17,0.904197169,2.906288862
18,0.904080424,2.66474247
19,0.904357608,2.699679375
20,0.904488203,2.530231476
21,0.904188396,2.702207565
22,0.904253806,2.835166931
23,0.904047972,2.468420506
24,0.903853444,2.392031193
25,0.90374646,2.444057465
26,0.903637385,2.440430641
27,0.903734757,2.525282383
28,0.903458106,2.475715399
29,0.903533822,2.451508522
30,0.903582314,2.62949419
31,0.903502385,2.674235344
32,0.903268475,2.436144352
33,0.903179241,2.476332664
34,0.90297376,2.79749608
35,0.902784552,2.521405697
36,0.902580817,2.45807147
37,0.902244534,2.390490294
38,0.902289497,2.556791782
39,0.902239378,2.616877794
40,0.901947182,2.574714422
41,0.902129534,2.519832611
42,0.902018047,2.56056118
43,0.90179919,2.768900633
44,0.901497818,2.469084978
45,0.90135468,2.516746283
46,0.901175302,2.745306253
47,0.901065467,2.648134232
48,0.90084866,2.697299004
49,0.900828013,2.742830753
50,0.900880246,2.730285406
51,0.900818048,2.764364004
52,0.900794471,2.594456911
53,0.900648454,2.682654619
54,0.900614928,2.599470615
55,0.900461682,2.622062206
56,0.900249778,2.373491526
57,0.900090476,2.527512312
58,0.900079535,2.684169292
59,0.899709518,2.421703577
60,0.899646793,2.35385108
61,0.899500384,2.346240997
62,0.89927904,2.625482798
63,0.899374138,2.630115986
64,0.899435794,2.472090721
65,0.899327112,2.428214073
66,0.89926625,2.643222809
67,0.899193753,2.721778631
68,0.899020488,2.450154781
69,0.898835923,2.505748034
70,0.898667611,2.612575293
71,0.898598581,2.522228479
72,0.898304665,2.453835964
73,0.898223897,2.381967545
74,0.898095479,2.389086485
75,0.897924491,2.492656946
76,0.897890936,2.651032686
77,0.897852482,2.441763401
78,0.897691163,2.640169859
79,0.897633594,2.634034634
80,0.897524261,2.622995615
81,0.897415367,2.477437735
82,0.897293515,2.675179482
83,0.897192775,2.512178659
84,0.897145514,2.624482393
85,0.897047233,2.48412919
86,0.896921354,2.527909279
87,0.896832036,2.6711936
88,0.896717719,2.828023434
89,0.896695423,2.741306067
90,0.896580543,2.845066547
91,0.896490032,2.799468994
92,0.896373548,2.548779011
93,0.896223823,2.859081745
94,0.896155719,2.847571611
95,0.896051916,2.766443014
96,0.895871578,2.653558731
97,0.895794974,2.536249399
98,0.895791383,2.759841204
99,0.895700381,2.675162315
